Date,Income,Expense
2025-01-01,1321958,338553
2025-01-02,1871155,481765
2025-01-03,1331932,552112
2025-01-04,1459178,469910
2025-01-05,1310268,360863
2025-01-06,1932180,684858
2025-01-07,2303462,930595
2025-01-08,1337337,392059
2025-01-09,2199890,824030
2025-01-10,2336074,623894
2025-01-11,2112756,550027
2025-01-12,1375203,489944
2025-01-13,2439911,873798
2025-01-14,1478167,557987
2025-01-15,1241090,490501
2025-01-16,1529365,680828
2025-01-17,2313396,817230
2025-01-18,1987201,625156
2025-01-19,1527069,624628
2025-01-20,2447617,744482
2025-01-21,1991743,672799
2025-01-22,1303355,346290
2025-01-23,2484372,633689
2025-01-24,2462752,1089840
2025-01-25,1384779,577724
2025-01-26,2189436,852117
2025-01-27,1686232,559475
2025-01-28,2117040,602634
2025-01-29,1356730,381631
2025-01-30,2398079,719540
2025-01-31,1854811,667445
2025-02-01,1727035,678585
2025-02-02,1848143,706063
2025-02-03,1265725,387295
2025-02-04,2378557,1048879
2025-02-05,1284654,510751
2025-02-06,2153277,777054
2025-02-07,1791723,667137
2025-02-08,1519030,507234
2025-02-09,1755839,525954
2025-02-10,1473538,473292
2025-02-11,1531236,614897
2025-02-12,1728178,437019
2025-02-13,1765894,482467
2025-02-14,1689492,437917
2025-02-15,1673254,431943
2025-02-16,1549457,652464
2025-02-17,1865987,729100
2025-02-18,2488507,858123
2025-02-19,2488205,670737
2025-02-20,2453617,854651
2025-02-21,1898361,654354
2025-02-22,1268148,360966
2025-02-23,1848531,622530
2025-02-24,2106606,694549
2025-02-25,1878843,701127
2025-02-26,1772843,668395
2025-02-27,1456508,377324
2025-02-28,2003591,651011
2025-03-01,2096942,786713
2025-03-02,1306530,458105
2025-03-03,1804365,760175
2025-03-04,1660337,633814
2025-03-05,2005889,566837
2025-03-06,1408261,371941
2025-03-07,2420405,916084
2025-03-08,1471836,375763
2025-03-09,2189913,804037
2025-03-10,1402283,614264
2025-03-11,1396769,509953
2025-03-12,1761353,577079
2025-03-13,2471741,935943
2025-03-14,2246797,767619
2025-03-15,2150110,772154
2025-03-16,1687879,739785
2025-03-17,1764685,577441
2025-03-18,1982038,876532
2025-03-19,2207293,951498
2025-03-20,1779879,514666
2025-03-21,2469460,651621
2025-03-22,1223247,330467
2025-03-23,2272876,576502
2025-03-24,1807086,485904
2025-03-25,1733556,670195
2025-03-26,1942139,513186
2025-03-27,1632315,512212
2025-03-28,2126075,890772
2025-03-29,1716588,437136
2025-03-30,2485160,1026106
2025-03-31,2178732,667500
2025-04-01,1248984,341763
2025-04-02,1502918,585157
2025-04-03,1464712,550422
2025-04-04,2368727,1007880
2025-04-05,1333767,529524
2025-04-06,1848663,759238
2025-04-07,1336330,409460
2025-04-08,1680754,479834
2025-04-09,1213986,485743
2025-04-10,1786146,734761
2025-04-11,2377888,1065534
2025-04-12,1212666,403239
2025-04-13,1334633,432959
2025-04-14,1488998,603464
2025-04-15,2050937,652527
2025-04-16,1828776,797623
2025-04-17,2279111,961061
2025-04-18,2196107,737450
2025-04-19,2038688,815830
2025-04-20,1551279,621921
2025-04-21,2113910,572076
2025-04-22,1689570,727377
2025-04-23,1224538,429874
2025-04-24,2094498,869827
2025-04-25,1401664,440136
2025-04-26,1691234,725716
2025-04-27,1339182,439037
2025-04-28,2406914,606945
2025-04-29,1384064,596637
2025-04-30,1414020,379321
2025-05-01,2239577,702919
2025-05-02,1823094,802183
2025-05-03,2097421,923119
2025-05-04,1815270,662006
2025-05-05,2367752,891144
2025-05-06,2117710,719363
2025-05-07,2466702,761328
2025-05-08,1418969,448015
2025-05-09,1322409,508471
2025-05-10,1453618,582137
2025-05-11,1969598,804218
2025-05-12,2298591,937649
2025-05-13,1972838,529196
2025-05-14,2370672,827089
2025-05-15,2433916,636497
2025-05-16,2359263,849112
2025-05-17,2074371,701772
2025-05-18,1935716,827597
2025-05-19,2354454,753856
2025-05-20,2173548,594277
2025-05-21,2446862,681691
2025-05-22,1973290,793858
2025-05-23,2413475,901779
2025-05-24,2199238,594288
2025-05-25,2061882,550154
2025-05-26,1579989,616501
2025-05-27,1615515,427388
2025-05-28,1243585,515306
2025-05-29,1264044,494555
2025-05-30,2160061,575158
2025-05-31,1642296,438439
2025-06-01,1309556,585800
2025-06-02,1967595,639181
2025-06-03,1400235,453855
2025-06-04,1225939,505773
2025-06-05,2401482,1055330
2025-06-06,1742335,779172
2025-06-07,1275766,511168
2025-06-08,1608923,523305
2025-06-09,1768550,471672
2025-06-10,1587261,643522
2025-06-11,2010208,727053
2025-06-12,1885440,631329
2025-06-13,2184346,942044
2025-06-14,1337848,364215
2025-06-15,1817075,633296
2025-06-16,1327948,335002
2025-06-17,1602690,550896
2025-06-18,1699046,443893
2025-06-19,1651269,452057
2025-06-20,1221959,334212
2025-06-21,1428576,542633
2025-06-22,2215602,884488
2025-06-23,2114091,775181
2025-06-24,1365838,604293
2025-06-25,1261087,409820
2025-06-26,2213343,679811
2025-06-27,1318451,558653
2025-06-28,1639792,483278
2025-06-29,1239353,548592
2025-06-30,1393075,351655
2025-07-01,2462859,1093449
2025-07-02,1265318,327251
2025-07-03,1965313,841603
2025-07-04,1616880,574865
2025-07-05,1791460,803636
2025-07-06,1940976,513891
2025-07-07,1981239,714773
2025-07-08,2341840,1039450
2025-07-09,1970746,698865
2025-07-10,2013168,756709
2025-07-11,1425281,554647
2025-07-12,2220545,757002
2025-07-13,2098613,788053
2025-07-14,1469536,539118
2025-07-15,1517824,653015
2025-07-16,1377789,356970
2025-07-17,1942452,594764
2025-07-18,2037291,896575
2025-07-19,1325657,567451
2025-07-20,2483743,847282
2025-07-21,1881669,703794
2025-07-22,2319043,708412
2025-07-23,2432310,699591
2025-07-24,1309751,448903
2025-07-25,2011774,645116
2025-07-26,1661079,609169
2025-07-27,1568452,416497
